<s>             | dit             | topic 134      topic 428      topic 187      topic 50       
dit             | weekend         | topic 187      topic 176      topic 489      topic 281      
weekend         | wordt           | topic 428      topic 187      topic 176      topic 507      
wordt           | op              | topic 428      topic 442      topic 187      topic 362      
op              | <UNK>           | topic 428      topic 164      topic 263      topic 206      
<UNK>           | de              | topic 428      topic 225      topic 507      topic 251      
de              | British         | topic 428      topic 148      topic 43       topic 164      
British         | Open            | topic 468      topic 37       topic 70       topic 245      
Open            | gespeeld        | topic 203      topic 225      topic 70       topic 3        
gespeeld        | </s>            | topic 60       topic 218      topic 225      topic 84       
<s>             | en              | topic 134      topic 428      topic 50       topic 380      
en              | noteer          | topic 242      topic 507      topic 187      topic 251      
noteer          | voor            | topic 242      topic 187      topic 303      topic 251      
voor            | september       | topic 428      topic 134      topic 379      topic 423      
september       | alvast          | topic 428      topic 263      topic 225      topic 60       
alvast          | de              | topic 428      topic 379      topic 148      topic 245      
de              | Ryder           | topic 428      topic 148      topic 349      topic 129      
Ryder           | Cup             | topic 203      topic 225      topic 245      topic 70       
Cup             | </s>            | topic 421      topic 60       topic 428      topic 245      
<s>             | sport           | topic 134      topic 428      topic 245      topic 265      
sport           | </s>            | topic 428      topic 1        topic 90       topic 3        
<s>             | nooit           | topic 428      topic 134      topic 50       topic 245      
nooit           | geweten         | topic 205      topic 187      topic 176      topic 73       
geweten         | dat             | topic 187      topic 176      topic 242      topic 303      
dat             | het             | topic 202      topic 265      topic 49       topic 59       
het             | woord           | topic 440      topic 187      topic 1        topic 205      
woord           | bestond         | topic 187      topic 303      topic 205      topic 440      
bestond         | </s>            | topic 187      topic 242      topic 303      topic 176      
<s>             | dat             | topic 202      topic 134      topic 265      topic 187      
dat             | is              | topic 187      topic 242      topic 202      topic 303      
is              | één           | topic 18       topic 187      topic 202      topic 49       
één           | boven           | topic 164      topic 296      topic 349      topic 428      
boven           | par             | topic 428      topic 245      topic 197      topic 202      
par             | en              | topic 245      topic 349      topic 428      topic 267      
en              | voor            | topic 245      topic 242      topic 187      topic 251      
voor            | een             | topic 428      topic 202      topic 245      topic 265      
een             | professional    | topic 428      topic 245      topic 349      topic 18       
professional    | is              | topic 187      topic 267      topic 303      topic 251      
is              | dat             | topic 187      topic 428      topic 303      topic 245      
dat             | een             | topic 202      topic 428      topic 245      topic 187      
een             | zware           | topic 428      topic 349      topic 406      topic 245      
zware           | misser          | topic 349      topic 267      topic 470      topic 18       
misser          | </s>            | topic 187      topic 440      topic 251      topic 303      
<s>             | een             | topic 187      topic 202      topic 242      topic 303      
een             | double          | topic 428      topic 245      topic 406      topic 349      
double          | <UNK>           | topic 245      topic 349      topic 267      topic 2        
<UNK>           | ja              | topic 187      topic 267      topic 404      topic 251      
ja              | </s>            | topic 187      topic 303      topic 242      topic 205      
<s>             | twee            | topic 187      topic 202      topic 242      topic 134      
twee            | boven           | topic 428      topic 296      topic 164      topic 349      
boven           | paragraaf       | topic 428      topic 245      topic 197      topic 202      
paragraaf       | </s>            | topic 428      topic 187      topic 245      topic 176      
<s>             | courante        | topic 428      topic 134      topic 202      topic 245      
courante        | praktijk        | topic 428      topic 245      topic 153      topic 369      
praktijk        | voor            | topic 428      topic 187      topic 267      topic 245      
voor            | een             | topic 428      topic 49       topic 245      topic 202      
een             | amateur         | topic 164      topic 428      topic 470      topic 167      
amateur         | voor            | topic 428      topic 202      topic 187      topic 49       
voor            | een             | topic 428      topic 49       topic 245      topic 202      
een             | professional    | topic 428      topic 164      topic 245      topic 470      
professional    | een             | topic 187      topic 164      topic 303      topic 507      
een             | catastrofe      | topic 428      topic 164      topic 245      topic 470      
catastrofe      | </s>            | topic 187      topic 404      topic 84       topic 440      
<s>             | een             | topic 428      topic 187      topic 49       topic 245      
een             | triple          | topic 428      topic 164      topic 470      topic 245      
triple          | <UNK>           | topic 164      topic 245      topic 203      topic 428      
<UNK>           | daarvan         | topic 187      topic 428      topic 507      topic 404      
daarvan         | wordt           | topic 428      topic 187      topic 507      topic 242      
wordt           | een             | topic 428      topic 49       topic 245      topic 187      
een             | amateur         | topic 428      topic 164      topic 470      topic 245      
amateur         | zeer            | topic 428      topic 187      topic 507      topic 303      
zeer            | <UNK>           | topic 428      topic 205      topic 84       topic 251      
<UNK>           | een             | topic 187      topic 507      topic 251      topic 303      
een             | professional    | topic 428      topic 164      topic 470      topic 231      
professional    | die             | topic 187      topic 251      topic 507      topic 303      
die             | het             | topic 187      topic 242      topic 507      topic 428      
het             | overkomt        | topic 440      topic 225      topic 251      topic 205      
overkomt        | levert          | topic 187      topic 303      topic 242      topic 440      
levert          | zijn            | topic 428      topic 49       topic 303      topic 187      
zijn            | clubs           | topic 428      topic 251      topic 470      topic 18       
clubs           | in              | topic 187      topic 428      topic 242      topic 440      
in              | </s>            | topic 428      topic 164      topic 62       topic 306      
<s>             | met             | topic 187      topic 303      topic 242      topic 507      
met             | <UNK>           | topic 428      topic 134      topic 49       topic 303      
<UNK>           | boven           | topic 428      topic 187      topic 507      topic 458      
boven           | par             | topic 428      topic 197      topic 242      topic 507      
par             | zijn            | topic 428      topic 458      topic 237      topic 251      
zijn            | we              | topic 428      topic 225      topic 251      topic 507      
we              | bij             | topic 428      topic 251      topic 507      topic 242      
bij             | <UNK>           | topic 428      topic 49       topic 347      topic 202      
<UNK>           | </s>            | topic 428      topic 251      topic 507      topic 440      
<s>             | schijnt         | topic 428      topic 187      topic 242      topic 507      
schijnt         | één           | topic 242      topic 187      topic 303      topic 507      
één           | keer            | topic 164      topic 296      topic 428      topic 225      
keer            | per             | topic 428      topic 187      topic 507      topic 242      
per             | halve           | topic 428      topic 225      topic 164      topic 19       
halve           | eeuw            | topic 153      topic 164      topic 203      topic 245      
eeuw            | voor            | topic 187      topic 176      topic 440      topic 507      
voor            | te              | topic 428      topic 49       topic 245      topic 440      
te              | komen           | topic 203      topic 432      topic 205      topic 187      
komen           | in              | topic 187      topic 303      topic 440      topic 242      
in              | het             | topic 428      topic 164      topic 203      topic 245      
het             | professionele   | topic 225      topic 440      topic 428      topic 164      
professionele   | golf            | topic 428      topic 225      topic 164      topic 440      
golf            | maar            | topic 428      topic 187      topic 440      topic 507      
maar            | niemand         | topic 428      topic 187      topic 507      topic 440      
niemand         | weet            | topic 187      topic 303      topic 440      topic 242      
weet            | waar            | topic 187      topic 242      topic 303      topic 507      
waar            | </s>            | topic 187      topic 242      topic 428      topic 49       
<s>             | bij             | topic 187      topic 242      topic 428      topic 303      
bij             | analogie        | topic 428      topic 49       topic 134      topic 202      
analogie        | moet            | topic 187      topic 428      topic 242      topic 440      
moet            | vijf            | topic 428      topic 49       topic 187      topic 242      
vijf            | boven           | topic 296      topic 164      topic 428      topic 225      
boven           | par             | topic 428      topic 164      topic 245      topic 440      
par             | dan             | topic 428      topic 245      topic 225      topic 251      
dan             | een             | topic 428      topic 187      topic 225      topic 507      
een             | <UNK>           | topic 428      topic 164      topic 470      topic 225      
<UNK>           | <UNK>           | topic 428      topic 251      topic 225      topic 187      
<UNK>           | zijn            | topic 428      topic 251      topic 187      topic 507      
zijn            | </s>            | topic 428      topic 225      topic 251      topic 187      
<s>             | nooit           | topic 428      topic 187      topic 507      topic 242      
nooit           | tegengekomen    | topic 187      topic 205      topic 176      topic 428      
tegengekomen    | in              | topic 187      topic 242      topic 507      topic 303      
in              | de              | topic 428      topic 164      topic 245      topic 303      
de              | vakliteratuur   | topic 428      topic 129      topic 276      topic 494      
vakliteratuur   | </s>            | topic 187      topic 303      topic 507      topic 251      
<s>             | zes             | topic 428      topic 187      topic 507      topic 303      
zes             | zou             | topic 428      topic 164      topic 296      topic 225      
zou             | <UNK>           | topic 428      topic 187      topic 507      topic 242      
<UNK>           | kunnen          | topic 428      topic 187      topic 251      topic 507      
kunnen          | zijn            | topic 428      topic 187      topic 242      topic 507      
zijn            | al              | topic 428      topic 251      topic 225      topic 187      
al              | doet            | topic 428      topic 164      topic 507      topic 225      
doet            | dat             | topic 428      topic 187      topic 242      topic 507      
dat             | meer            | topic 428      topic 187      topic 49       topic 507      
meer            | denken          | topic 126      topic 428      topic 251      topic 267      
denken          | aan             | topic 187      topic 242      topic 440      topic 303      
aan             | een             | topic 126      topic 428      topic 303      topic 49       
een             | goedkope        | topic 428      topic 470      topic 164      topic 225      
goedkope        | gore            | topic 428      topic 470      topic 494      topic 126      
gore            | tent            | topic 494      topic 126      topic 470      topic 497      
tent            | in              | topic 187      topic 251      topic 225      topic 507      
in              | Soho            | topic 428      topic 225      topic 306      topic 164      
Soho            | </s>            | topic 225      topic 251      topic 84       topic 187      
<s>             | en              | topic 428      topic 507      topic 187      topic 303      
en              | dan             | topic 242      topic 187      topic 303      topic 507      
dan             | zijn            | topic 187      topic 176      topic 242      topic 254      
zijn            | we              | topic 428      topic 129      topic 126      topic 470      
we              | er              | topic 428      topic 251      topic 126      topic 440      
er              | </s>            | topic 428      topic 267      topic 251      topic 126      
<s>             | John            | topic 428      topic 187      topic 242      topic 303      
John            | <UNK>           | topic 49       topic 202      topic 507      topic 251      
<UNK>           | op              | topic 65       topic 428      topic 507      topic 225      
op              | de              | topic 428      topic 507      topic 206      topic 349      
de              | US              | topic 428      topic 129      topic 376      topic 347      
US              | Open            | topic 448      topic 245      topic 468      topic 70       
Open            | van             | topic 428      topic 225      topic 203      topic 60       
van             | dit             | topic 428      topic 245      topic 3        topic 380      
dit             | jaar            | topic 428      topic 225      topic 380      topic 164      
jaar            | </s>            | topic 428      topic 225      topic 60       topic 164      
<s>             | de              | topic 134      topic 428      topic 50       topic 49       
de              | achtste         | topic 428      topic 129      topic 349      topic 423      
achtste         | hole            | topic 153      topic 245      topic 203      topic 369      
hole            | op              | topic 245      topic 202      topic 428      topic 265      
op              | de              | topic 428      topic 245      topic 202      topic 49       
de              | baan            | topic 428      topic 245      topic 129      topic 153      
baan            | van             | topic 428      topic 202      topic 245      topic 60       
van             | <UNK>           | topic 428      topic 202      topic 245      topic 49       
<UNK>           | No              | topic 428      topic 245      topic 202      topic 49       
No              | </s>            | topic 245      topic 421      topic 202      topic 458      
<s>             | een             | topic 134      topic 202      topic 245      topic 428      
een             | par             | topic 428      topic 245      topic 91       topic 470      
par             | vier            | topic 245      topic 428      topic 349      topic 91       
vier            | komma           | topic 428      topic 267      topic 245      topic 164      
komma           | en              | topic 428      topic 245      topic 60       topic 164      
en              | niet            | topic 428      topic 245      topic 60       topic 49       
niet            | eens            | topic 428      topic 267      topic 205      topic 187      
eens            | een             | topic 428      topic 267      topic 245      topic 205      
een             | moeilijke       | topic 428      topic 245      topic 349      topic 91       
moeilijke       | </s>            | topic 349      topic 267      topic 203      topic 245      
<s>             | elf             | topic 202      topic 245      topic 49       topic 428      
elf             | slagen          | topic 428      topic 164      topic 296      topic 349      
slagen          | had             | topic 187      topic 267      topic 428      topic 349      
had             | hij             | topic 428      topic 49       topic 245      topic 202      
hij             | nodig           | topic 428      topic 49       topic 245      topic 202      
nodig           | </s>            | topic 187      topic 428      topic 267      topic 242      
<s>             | elf             | topic 428      topic 49       topic 202      topic 245      
elf             | </s>            | topic 428      topic 164      topic 296      topic 349      
<s>             | waaronder       | topic 134      topic 428      topic 49       topic 50       
waaronder       | twee            | topic 428      topic 134      topic 49       topic 245      
twee            | <UNK>           | topic 428      topic 164      topic 296      topic 423      
<UNK>           | omdat           | topic 428      topic 267      topic 245      topic 349      
omdat           | hij             | topic 428      topic 49       topic 245      topic 202      
hij             | van             | topic 428      topic 245      topic 49       topic 267      
van             | <UNK>           | topic 428      topic 49       topic 245      topic 202      
<UNK>           | op              | topic 428      topic 251      topic 267      topic 245      
op              | een             | topic 428      topic 245      topic 349      topic 197      
een             | <UNK>           | topic 428      topic 225      topic 245      topic 164      
<UNK>           | bal             | topic 428      topic 225      topic 245      topic 251      
bal             | had             | topic 428      topic 187      topic 251      topic 303      
had             | <UNK>           | topic 428      topic 202      topic 245      topic 49       
<UNK>           | </s>            | topic 428      topic 245      topic 49       topic 202      
<s>             | toen            | topic 428      topic 49       topic 245      topic 134      
toen            | hij             | topic 428      topic 49       topic 202      topic 245      
hij             | na              | topic 428      topic 245      topic 49       topic 202      
na              | zijn            | topic 428      topic 245      topic 202      topic 49       
zijn            | achtste         | topic 428      topic 245      topic 444      topic 470      
achtste         | shot            | topic 153      topic 245      topic 203      topic 369      
shot            | eindelijk       | topic 245      topic 202      topic 428      topic 265      
eindelijk       | op              | topic 428      topic 245      topic 202      topic 265      
op              | de              | topic 428      topic 245      topic 202      topic 197      
de              | green           | topic 428      topic 245      topic 153      topic 2        
green           | lag             | topic 245      topic 428      topic 369      topic 202      
lag             | waar            | topic 428      topic 245      topic 202      topic 49       
waar            | hij             | topic 49       topic 202      topic 428      topic 245      
hij             | met             | topic 428      topic 245      topic 49       topic 202      
met             | zijn            | topic 428      topic 245      topic 49       topic 202      
zijn            | tweede          | topic 428      topic 245      topic 470      topic 347      
tweede          | dwars           | topic 428      topic 245      topic 369      topic 444      
dwars           | doorheen        | topic 205      topic 251      topic 369      topic 203      
doorheen        | was             | topic 202      topic 245      topic 428      topic 49       
was             | <UNK>           | topic 245      topic 202      topic 49       topic 265      
<UNK>           | had             | topic 245      topic 49       topic 428      topic 202      
had             | hij             | topic 49       topic 245      topic 202      topic 428      
hij             | nog             | topic 428      topic 49       topic 245      topic 202      
nog             | eens            | topic 428      topic 245      topic 444      topic 49       
eens            | drie            | topic 428      topic 245      topic 49       topic 444      
drie            | <UNK>           | topic 428      topic 164      topic 245      topic 369      
<UNK>           | nodig           | topic 428      topic 49       topic 245      topic 60       
nodig           | </s>            | topic 428      topic 187      topic 60       topic 289      
<s>             | lezers          | topic 49       topic 428      topic 245      topic 202      
lezers          | van             | topic 428      topic 49       topic 245      topic 202      
van             | Knack           | topic 428      topic 49       topic 245      topic 202      
Knack           | kennen          | topic 428      topic 245      topic 369      topic 49       
kennen          | John            | topic 428      topic 202      topic 187      topic 245      
John            | <UNK>           | topic 49       topic 202      topic 245      topic 507      
<UNK>           | wij             | topic 428      topic 65       topic 49       topic 245      
wij             | hebben          | topic 428      topic 245      topic 267      topic 251      
hebben          | u               | topic 428      topic 245      topic 267      topic 423      
u               | al              | topic 428      topic 267      topic 251      topic 245      
al              | meermaals       | topic 428      topic 267      topic 164      topic 245      
meermaals       | over            | topic 428      topic 267      topic 18       topic 349      
over            | hem             | topic 428      topic 267      topic 423      topic 18       
hem             | verteld         | topic 267      topic 251      topic 187      topic 428      
verteld         | </s>            | topic 187      topic 303      topic 242      topic 251      
<s>             | een             | topic 187      topic 242      topic 303      topic 134      
een             | <UNK>           | topic 428      topic 349      topic 129      topic 18       
<UNK>           | buiten          | topic 267      topic 349      topic 18       topic 65       
buiten          | categorie       | topic 267      topic 428      topic 187      topic 303      
categorie       | die             | topic 428      topic 267      topic 18       topic 251      
die             | in              | topic 267      topic 349      topic 428      topic 303      
in              | negentien       | topic 428      topic 306      topic 267      topic 129      
negentien       | honderd         | topic 428      topic 164      topic 225      topic 296      
honderd         | één-en        | topic 428      topic 164      topic 481      topic 296      
één-en        | negentig        | topic 428      topic 481      topic 164      topic 60       
negentig        | door            | topic 428      topic 225      topic 65       topic 507      
door            | de              | topic 428      topic 507      topic 18       topic 65       
de              | vele            | topic 428      topic 65       topic 129      topic 349      
