<s>             | dit             | topic 303      topic 251      topic 242      topic 187      
dit             | weekend         | topic 52       topic 84       topic 164      topic 433      
weekend         | wordt           | topic 81       topic 225      topic 84       topic 281      
wordt           | op              | topic 251      topic 81       topic 225      topic 442      
op              | <UNK>           | topic 225      topic 457      topic 281      topic 295      
<UNK>           | de              | topic 159      topic 251      topic 297      topic 225      
de              | British         | topic 297      topic 134      topic 455      topic 159      
British         | Open            | topic 468      topic 297      topic 134      topic 358      
Open            | gespeeld        | topic 159      topic 297      topic 225      topic 251      
gespeeld        | </s>            | topic 159      topic 251      topic 225      topic 218      
<s>             | en              | topic 251      topic 225      topic 297      topic 455      
en              | noteer          | topic 251      topic 242      topic 303      topic 187      
noteer          | voor            | topic 242      topic 187      topic 303      topic 251      
voor            | september       | topic 455      topic 225      topic 251      topic 281      
september       | alvast          | topic 159      topic 225      topic 251      topic 60       
alvast          | de              | topic 251      topic 433      topic 159      topic 442      
de              | Ryder           | topic 134      topic 297      topic 50       topic 455      
Ryder           | Cup             | topic 159      topic 251      topic 297      topic 225      
Cup             | </s>            | topic 159      topic 297      topic 251      topic 225      
<s>             | sport           | topic 251      topic 297      topic 225      topic 303      
sport           | </s>            | topic 281      topic 251      topic 433      topic 159      
<s>             | nooit           | topic 251      topic 303      topic 297      topic 242      
nooit           | geweten         | topic 159      topic 187      topic 251      topic 281      
geweten         | dat             | topic 159      topic 251      topic 187      topic 242      
dat             | het             | topic 303      topic 251      topic 187      topic 242      
het             | woord           | topic 251      topic 440      topic 433      topic 84       
woord           | bestond         | topic 433      topic 251      topic 159      topic 84       
bestond         | </s>            | topic 159      topic 251      topic 433      topic 507      
<s>             | dat             | topic 303      topic 242      topic 251      topic 187      
dat             | is              | topic 187      topic 303      topic 242      topic 251      
is              | één           | topic 440      topic 242      topic 303      topic 187      
één           | boven           | topic 164      topic 297      topic 245      topic 225      
boven           | par             | topic 225      topic 455      topic 159      topic 251      
par             | en              | topic 297      topic 159      topic 251      topic 267      
en              | voor            | topic 297      topic 251      topic 267      topic 134      
