target          | cbow_exp_soft0  <-> cbow_exp_lstm0 
---------------------------------------------
keren           | 2               <-> 0              
levert          | 1               <-> 0              
divers          | 1               <-> 0              
moederhuis      | 1               <-> 0              
centimeter      | 1               <-> 0              
reglement       | 1               <-> 0              
plezier         | 1               <-> 0              
kwistig         | 1               <-> 0              
lange           | 1               <-> 0              
publieke        | 1               <-> 0              
slachtoffer     | 1               <-> 0              
afdoende        | 1               <-> 0              
gelukkig        | 1               <-> 0              
weten           | 1               <-> 0              
minder          | 2               <-> 1              
nooit           | 4               <-> 0              
maar            | 12              <-> 7              
Soho            | 1               <-> 0              
afhangen        | 1               <-> 0              
belangrijk      | 1               <-> 0              
neus            | 1               <-> 0              
die             | 24              <-> 13             
spande          | 1               <-> 0              
zodra           | 1               <-> 0              
krijgen         | 1               <-> 0              
dit             | 7               <-> 6              
geworden        | 2               <-> 1              
ontplofte       | 1               <-> 0              
programma       | 1               <-> 0              
gewelddadig     | 1               <-> 0              
zwart           | 1               <-> 0              
twee-en         | 1               <-> 0              
tenslotte       | 1               <-> 0              
vele            | 2               <-> 1              
zonder          | 4               <-> 1              
ter             | 3               <-> 0              
even            | 2               <-> 1              
goed            | 3               <-> 0              
zakenman        | 1               <-> 0              
delen           | 1               <-> 0              
eindelijk       | 3               <-> 0              
vroeger         | 1               <-> 0              
heren           | 1               <-> 0              
Midden-België  | 1               <-> 0              
weerbeeld       | 1               <-> 0              
dwingen         | 2               <-> 0              
dwars           | 1               <-> 0              
vinden          | 1               <-> 0              
ervoor          | 1               <-> 0              
toen            | 8               <-> 3              
valt            | 1               <-> 0              
bodem           | 1               <-> 0              
volgt           | 1               <-> 0              
tegen           | 4               <-> 1              
zorgt           | 2               <-> 0              
vermeldde       | 1               <-> 0              
bom             | 1               <-> 0              
lossen          | 1               <-> 0              
gerekend        | 1               <-> 0              
Franse          | 1               <-> 0              
wetenschappelijk | 1               <-> 0              
diameter        | 2               <-> 0              
wie             | 2               <-> 0              
hoofdrol        | 1               <-> 0              
extra           | 3               <-> 1              
verslaggever    | 1               <-> 0              
Nick            | 1               <-> 0              
sterk           | 1               <-> 0              
dokters         | 2               <-> 0              
zijnde          | 1               <-> 0              
attractie       | 1               <-> 0              
nodige          | 1               <-> 0              
inactiviteit    | 1               <-> 0              
Europa          | 5               <-> 1              
voren           | 1               <-> 0              
leidde          | 1               <-> 0              
bevond          | 1               <-> 0              
missen          | 1               <-> 0              
woorden         | 1               <-> 0              
nodig           | 2               <-> 0              
eerder          | 1               <-> 0              
domein          | 1               <-> 0              
zwaaien         | 1               <-> 0              
door            | 8               <-> 6              
Eva             | 1               <-> 0              
winnen          | 3               <-> 0              
bewijzen        | 3               <-> 0              
lucide          | 1               <-> 0              
temperatuur     | 1               <-> 0              
zover           | 1               <-> 0              
genoeg          | 1               <-> 0              
schreef         | 1               <-> 0              
verbijstering   | 1               <-> 0              
klagen          | 2               <-> 0              
gebonden        | 1               <-> 0              
spreken         | 1               <-> 0              
aangerekend     | 1               <-> 0              
toernooien      | 1               <-> 0              
totaal          | 1               <-> 0              
Natuur          | 1               <-> 0              
zeventig        | 2               <-> 1              
krijgt          | 1               <-> 0              
slok            | 1               <-> 0              
springen        | 1               <-> 0              
getuige         | 1               <-> 0              
Massachusetts   | 1               <-> 0              
technisch       | 1               <-> 0              
twintig         | 7               <-> 1              
grootste        | 1               <-> 0              
overbodig       | 1               <-> 0              
vrienden        | 1               <-> 0              
want            | 5               <-> 0              
eenieder        | 1               <-> 0              
stil            | 1               <-> 0              
niemand         | 1               <-> 0              
handboek        | 1               <-> 0              
storingen       | 1               <-> 0              
pakken          | 1               <-> 0              
verbeten        | 1               <-> 0              
gestort         | 1               <-> 0              
ontmoeting      | 1               <-> 0              
strook          | 1               <-> 0              
korte           | 1               <-> 0              
Shadow          | 1               <-> 0              
Knack           | 1               <-> 0              
anderen         | 1               <-> 0              
avond           | 1               <-> 0              
tien            | 1               <-> 0              
Punk            | 1               <-> 0              
overigens       | 1               <-> 0              
verzekerd       | 1               <-> 0              
mag             | 1               <-> 0              
behalve         | 1               <-> 0              
belangeloos     | 1               <-> 0              
noteer          | 1               <-> 0              
maakt           | 3               <-> 2              
atmosfeer       | 1               <-> 0              
tenminste       | 1               <-> 0              
bestaan         | 1               <-> 0              
or              | 1               <-> 0              
Player          | 1               <-> 0              
marge           | 1               <-> 0              
waarom          | 1               <-> 0              
busje           | 1               <-> 0              
wind            | 2               <-> 1              
gemaakt         | 1               <-> 0              
nogal           | 1               <-> 0              
denken          | 1               <-> 0              
oorzaak         | 1               <-> 0              
weken           | 1               <-> 0              
zal             | 1               <-> 0              
geven           | 2               <-> 0              
zes             | 1               <-> 0              
attitude        | 1               <-> 0              
spotten         | 1               <-> 0              
achterstand     | 1               <-> 0              
geslagen        | 1               <-> 0              
voorgesteld     | 1               <-> 0              
midden          | 1               <-> 0              
noemt           | 1               <-> 0              
tussenseizoen   | 1               <-> 0              
zoek            | 1               <-> 0              
nietigheid      | 1               <-> 0              
herovering      | 1               <-> 0              
Harris          | 1               <-> 0              
belandde        | 1               <-> 0              
fatsoen         | 1               <-> 0              
weglopen        | 1               <-> 0              
hoogste         | 1               <-> 0              
staat           | 4               <-> 2              
dan             | 9               <-> 8              
knuppel         | 1               <-> 0              
opgekleefd      | 1               <-> 0              
overleeft       | 1               <-> 0              
afgaande        | 1               <-> 0              
staan           | 1               <-> 0              
scheiding       | 1               <-> 0              
lente           | 1               <-> 0              
aanzet          | 1               <-> 0              
heupen          | 1               <-> 0              
onmiddellijke   | 1               <-> 0              
winnaar         | 2               <-> 0              
omschreef       | 1               <-> 0              
nationale       | 1               <-> 0              
liep            | 1               <-> 0              
partij          | 1               <-> 0              
hotelkamer      | 1               <-> 0              
letterlijk      | 1               <-> 0              
dagen           | 3               <-> 1              
inherent        | 1               <-> 0              
firmament       | 1               <-> 0              
bellen          | 1               <-> 0              
begin           | 1               <-> 0              
achtertuin      | 1               <-> 0              
gelegen         | 1               <-> 0              
acht-en         | 1               <-> 0              
alweer          | 1               <-> 0              
reglementair    | 1               <-> 0              
kant            | 3               <-> 0              
behoud          | 1               <-> 0              
er              | 10              <-> 9              
alcohol         | 1               <-> 0              
goedkope        | 2               <-> 0              
gespeeld        | 3               <-> 1              
ontspanning     | 1               <-> 0              
dag             | 3               <-> 2              
weigerde        | 1               <-> 0              
broekriem       | 1               <-> 0              
hoewel          | 1               <-> 0              
normen          | 1               <-> 0              
stelde          | 2               <-> 1              
borrel          | 1               <-> 0              
precies         | 1               <-> 0              
Verenigde       | 1               <-> 0              
handen          | 1               <-> 0              
toernooi        | 3               <-> 2              
shot            | 4               <-> 1              
bleef           | 1               <-> 0              
weinige         | 1               <-> 0              
beginnen        | 1               <-> 0              
verplaatsen     | 1               <-> 0              
lelijke         | 1               <-> 0              
keer            | 10              <-> 1              
professionele   | 1               <-> 0              
briesje         | 1               <-> 0              
geleden         | 2               <-> 0              
vanop           | 2               <-> 0              
top             | 1               <-> 0              
wanneer         | 1               <-> 0              
hoop            | 1               <-> 0              
definitieve     | 1               <-> 0              
one             | 1               <-> 0              
medeleven       | 1               <-> 0              
overkwam        | 1               <-> 0              
echt            | 1               <-> 0              
evoluties       | 1               <-> 0              
wolken          | 1               <-> 0              
gangbare        | 1               <-> 0              
kon             | 4               <-> 1              
meesten         | 1               <-> 0              
creatieve       | 1               <-> 0              
accent          | 1               <-> 0              
rond            | 2               <-> 0              
sloegen         | 1               <-> 0              
zuidelijke      | 3               <-> 0              
man             | 3               <-> 1              
legt            | 1               <-> 0              
rechtervoet     | 2               <-> 0              
verwoordde      | 1               <-> 0              
automatisch     | 1               <-> 0              
vanuit          | 1               <-> 0              
hun             | 3               <-> 1              
waarbij         | 1               <-> 0              
moeilijke       | 1               <-> 0              
alvast          | 1               <-> 0              
behoorde        | 1               <-> 0              
volgende        | 1               <-> 0              
circa           | 1               <-> 0              
West-Europa     | 1               <-> 0              
redenen         | 1               <-> 0              
feesten         | 1               <-> 0              
antropologen    | 1               <-> 0              
psychologische  | 1               <-> 0              
blijft          | 1               <-> 0              
herschikking    | 1               <-> 0              
and             | 2               <-> 0              
alles           | 2               <-> 1              
aller           | 1               <-> 0              
mannen          | 1               <-> 0              
blik            | 1               <-> 0              
maaien          | 1               <-> 0              
bewijs          | 1               <-> 0              
oefenterrein    | 1               <-> 0              
regelmaat       | 1               <-> 0              
onze            | 1               <-> 0              
slag            | 2               <-> 1              
hoeveel         | 1               <-> 0              
gezegd          | 2               <-> 0              
kijker          | 1               <-> 0              
betekenden      | 1               <-> 0              
iets            | 3               <-> 1              
zestig          | 2               <-> 0              
lenen           | 1               <-> 0              
Europese        | 3               <-> 2              
gevraagd        | 1               <-> 0              
zou             | 3               <-> 2              
afgelopen       | 1               <-> 0              
oplossing       | 1               <-> 0              
UCI             | 1               <-> 0              
nieuwe          | 2               <-> 0              
overstap        | 1               <-> 0              
daarna          | 1               <-> 0              
hiphop          | 1               <-> 0              
duivel          | 1               <-> 0              
The             | 1               <-> 0              
moeras          | 1               <-> 0              
the             | 2               <-> 0              
waarden         | 2               <-> 0              
schitterend     | 1               <-> 0              
later           | 1               <-> 0              
tiendaagse      | 1               <-> 0              
debuut          | 1               <-> 0              
zeventien       | 2               <-> 1              
wildcard        | 1               <-> 0              
that's          | 1               <-> 0              
leider          | 1               <-> 0              
volgde          | 1               <-> 0              
zware           | 2               <-> 0              
ongelukkige     | 1               <-> 0              
Davis           | 1               <-> 0              
twee            | 11              <-> 10             
aangezien       | 1               <-> 0              
Twain           | 1               <-> 0              
jaren           | 4               <-> 1              
niet            | 20              <-> 12             
boom            | 1               <-> 0              
rijkdom         | 1               <-> 0              
forfait         | 1               <-> 0              
moet            | 2               <-> 0              
Garrido         | 1               <-> 0              
kampen          | 1               <-> 0              
kilometer       | 2               <-> 0              
westen          | 1               <-> 0              
trouwens        | 1               <-> 0              
des             | 1               <-> 0              
begonnen        | 2               <-> 0              
merkten         | 1               <-> 0              
Vlaanderen      | 2               <-> 0              
de              | 128             <-> 123            
steen           | 1               <-> 0              
wordt           | 10              <-> 5              
proces          | 1               <-> 0              
zondag          | 1               <-> 0              
fatale          | 1               <-> 0              
hij             | 18              <-> 13             
graden          | 4               <-> 3              
bar             | 1               <-> 0              
gesprek         | 1               <-> 0              
rechte          | 1               <-> 0              
voorkomt        | 1               <-> 0              
sukkel          | 1               <-> 0              
gezien          | 1               <-> 0              
geld            | 1               <-> 0              
speel           | 1               <-> 0              
depressie       | 1               <-> 0              
gelijk          | 1               <-> 0              
kust            | 1               <-> 0              
gedaan          | 1               <-> 0              
aanval          | 1               <-> 0              
toer            | 1               <-> 0              
hoek            | 1               <-> 0              
beetje          | 1               <-> 0              
beweerde        | 1               <-> 0              
Amerikaanse     | 3               <-> 1              
laat            | 1               <-> 0              
zonnige         | 1               <-> 0              
verboden        | 1               <-> 0              
wou             | 1               <-> 0              
verraderlijk    | 1               <-> 0              
gegooid         | 1               <-> 0              
kind            | 1               <-> 0              
gezorgd         | 1               <-> 0              
bunkers         | 1               <-> 0              
meermaals       | 1               <-> 0              
sprak           | 2               <-> 1              
artikel         | 1               <-> 0              
winst           | 1               <-> 0              
vertoond        | 1               <-> 0              
echter          | 1               <-> 0              
groene          | 1               <-> 0              
uur             | 1               <-> 0              
koos            | 1               <-> 0              
tevoren         | 1               <-> 0              
daarbij         | 2               <-> 0              
druk            | 2               <-> 0              
aantrekt        | 1               <-> 0              
honderd         | 4               <-> 0              
primus          | 1               <-> 0              
immers          | 2               <-> 0              
Cup             | 4               <-> 3              
wanhopige       | 1               <-> 0              
Monty           | 1               <-> 0              
nevel           | 2               <-> 0              
onbewust        | 1               <-> 0              
voorwaarts      | 1               <-> 0              
geselecteerd    | 1               <-> 0              
majors          | 1               <-> 0              
fierheid        | 1               <-> 0              
erbij           | 1               <-> 0              
toestemming     | 1               <-> 0              
moest           | 2               <-> 1              
grond           | 2               <-> 0              
bekeek          | 1               <-> 0              
stadium         | 1               <-> 0              
veeleer         | 1               <-> 0              
Henry           | 1               <-> 0              
dus             | 3               <-> 1              
meteen          | 1               <-> 0              
verlies         | 1               <-> 0              
hooguit         | 1               <-> 0              
dichten         | 1               <-> 0              
speelden        | 1               <-> 0              
opgelucht       | 1               <-> 0              
optiek          | 2               <-> 0              
superieur       | 1               <-> 0              
poten           | 1               <-> 0              
kunstmatige     | 2               <-> 0              
vrezen          | 1               <-> 0              
artritis        | 1               <-> 0              
Old             | 1               <-> 0              
geduwd          | 1               <-> 0              
negen           | 1               <-> 0              
hart            | 1               <-> 0              
daarom          | 1               <-> 0              
bijvoorbeeld    | 1               <-> 0              
is              | 25              <-> 19             
Amerikanen      | 3               <-> 1              
triple          | 1               <-> 0              
Hope            | 1               <-> 0              
geweten         | 2               <-> 0              
kunst           | 1               <-> 0              
drankje         | 1               <-> 0              
thee            | 1               <-> 0              
slagen          | 2               <-> 0              
week            | 1               <-> 0              
bestond         | 1               <-> 0              
werkte          | 1               <-> 0              
neerlegt        | 1               <-> 0              
I               | 1               <-> 0              
verantwoorde    | 1               <-> 0              
hand            | 2               <-> 0              
moment          | 3               <-> 2              
Stuttgart       | 1               <-> 0              
noemen          | 1               <-> 0              
ooit            | 2               <-> 0              
hebben          | 5               <-> 2              
weet            | 2               <-> 0              
tranen          | 1               <-> 0              
namelijk        | 2               <-> 0              
catastrofe      | 1               <-> 0              
halve           | 1               <-> 0              
brengt          | 1               <-> 0              
groepen         | 1               <-> 0              
komiek          | 1               <-> 0              
probleem        | 1               <-> 0              
gezet           | 1               <-> 0              
deze            | 3               <-> 2              
vrouw           | 3               <-> 1              
Laag            | 1               <-> 0              
normaal         | 1               <-> 0              
Bernard         | 2               <-> 1              
mislukte        | 2               <-> 0              
eerst           | 3               <-> 0              
rondjes         | 1               <-> 0              
antwoordde      | 1               <-> 0              
</s>            | 158             <-> 125            
afgesneden      | 1               <-> 0              
beslissende     | 1               <-> 0              
belangrijkste   | 1               <-> 0              
vervolgens      | 2               <-> 0              
tenzij          | 1               <-> 0              
tachtigste      | 1               <-> 0              
juiste          | 1               <-> 0              
tijd            | 3               <-> 0              
duren           | 1               <-> 0              
bij             | 8               <-> 7              
zeven-en        | 2               <-> 0              
James           | 1               <-> 0              
selecteren      | 2               <-> 0              
opzadelen       | 1               <-> 0              
klom            | 2               <-> 0              
Betty           | 1               <-> 0              
risico          | 1               <-> 0              
plotseling      | 1               <-> 0              
gezwind         | 1               <-> 0              
sinds           | 2               <-> 0              
omstandigheden  | 1               <-> 0              
nauwelijks      | 2               <-> 0              
hadden          | 1               <-> 0              
een             | 69              <-> 56             
ondergang       | 1               <-> 0              
grondvorst      | 1               <-> 0              
prestaties      | 1               <-> 0              
nabijheid       | 1               <-> 0              
waarmee         | 2               <-> 1              
stappen         | 1               <-> 0              
kennen          | 2               <-> 1              
love            | 1               <-> 0              
eraan           | 1               <-> 0              
Lemon           | 3               <-> 0              
kleven          | 1               <-> 0              
clubs           | 3               <-> 0              
methode         | 1               <-> 0              
specifiek       | 1               <-> 0              
gebleken        | 1               <-> 0              
woede           | 2               <-> 0              
wisselend       | 1               <-> 0              
bankrekening    | 1               <-> 0              
kloof           | 1               <-> 0              
mooi            | 1               <-> 0              
betaald         | 1               <-> 0              
per             | 2               <-> 1              
doorheen        | 1               <-> 0              
zeelucht        | 1               <-> 0              
negentien       | 4               <-> 3              
woord           | 2               <-> 0              
ernstig         | 1               <-> 0              
rug             | 1               <-> 0              
kan             | 5               <-> 3              
tientallen      | 1               <-> 0              
aanwezigen      | 1               <-> 0              
Daft            | 1               <-> 0              
voormalige      | 1               <-> 0              
forfaits        | 1               <-> 0              
bedoelen        | 1               <-> 0              
verklaren       | 1               <-> 0              
speler          | 3               <-> 1              
bekijken        | 1               <-> 0              
dj's            | 1               <-> 0              
alleen          | 3               <-> 2              
onder           | 2               <-> 1              
ander           | 1               <-> 0              
plus            | 1               <-> 0              
opwachting      | 1               <-> 0              
spelen          | 2               <-> 0              
elektronische   | 1               <-> 0              
dilemma         | 1               <-> 0              
kliniek         | 1               <-> 0              
langzaam        | 1               <-> 0              
samen           | 1               <-> 0              
behoorlijk      | 1               <-> 0              
mocht           | 1               <-> 0              
wordende        | 1               <-> 0              
bevallen        | 1               <-> 0              
heeft           | 5               <-> 1              
van             | 58              <-> 53             
eens            | 3               <-> 2              
voortaan        | 1               <-> 0              
verspreid       | 1               <-> 0              
lachen          | 1               <-> 0              
achter          | 2               <-> 0              
hen             | 3               <-> 1              
wat             | 9               <-> 7              
was             | 20              <-> 9              
belangstelling  | 1               <-> 0              
verwachtingen   | 1               <-> 0              
vormt           | 2               <-> 0              
zonde           | 1               <-> 0              
ene             | 1               <-> 0              
opmerkelijk     | 1               <-> 0              
chirurg         | 2               <-> 0              
nut             | 1               <-> 0              
maakte          | 1               <-> 0              
bepaald         | 1               <-> 0              
schuift         | 1               <-> 0              
buitenkomen     | 1               <-> 0              
wist            | 1               <-> 0              
internationale  | 1               <-> 0              
